source,target,weight,edge_in_prob_v,edge_out_prob_u
17,30,0.025351822,0.65643805,0.65643805
18,0,0.041668728,0.65643805,0.65643805
18,1,0.03445848,0.65643805,0.65643805
18,2,0.025226282,0.65643805,0.65643805
18,3,0.041553717,0.65643805,0.65643805
18,4,0.037815984,0.65643805,0.65643805
18,5,0.030607792,0.65643805,0.65643805
18,6,0.034240294,0.65643805,0.65643805
18,7,0.021822542,0.65643805,0.65643805
18,8,0.041881647,0.65643805,0.65643805
18,9,0.03912046,0.65643805,0.65643805
18,10,0.031249935,0.65643805,0.65643805
18,11,0.034633465,0.65643805,0.65643805
18,12,0.041804954,0.65643805,0.65643805
18,13,0.02497802,0.65643805,0.65643805
18,14,0.03934749,0.65643805,0.65643805
18,15,0.030347256,0.65643805,0.65643805
18,16,0.036816806,0.65643805,0.65643805
18,17,0.026238503,0.65643805,0.65643805
18,19,0.033808514,0.65643805,0.65643805
18,20,0.030746412,0.65643805,0.65643805
18,21,0.036999643,0.65643805,0.65643805
18,22,0.04170401,0.65643805,0.65643805
18,23,0.022577295,0.65643805,0.65643805
18,24,0.034773335,0.65643805,0.65643805
18,25,0.030067101,0.65643805,0.65643805
18,26,0.030474119,0.65643805,0.65643805
18,27,0.02601412,0.65643805,0.65643805
18,28,0.03689125,0.65643805,0.65643805
18,29,0.03681119,0.65643805,0.65643805
18,30,0.025320569,0.65643805,0.65643805
19,0,0.03861768,0.65643805,0.65643805
19,1,0.05292039,0.65643805,0.65643805
19,2,0.029311668,0.65643805,0.65643805
19,3,0.037629247,0.65643805,0.65643805
19,4,0.01776729,0.65643805,0.65643805
19,5,0.03755571,0.65643805,0.65643805
19,6,0.05274483,0.65643805,0.65643805
19,7,0.030497195,0.65643805,0.65643805
19,8,0.040232267,0.65643805,0.65643805
19,9,0.021925852,0.65643805,0.65643805
19,10,0.04025004,0.65643805,0.65643805
19,11,0.053130757,0.65643805,0.65643805
19,12,0.04109173,0.65643805,0.65643805
19,13,0.028891195,0.65643805,0.65643805
19,14,0.022842057,0.65643805,0.65643805
19,15,0.03641792,0.65643805,0.65643805
19,16,0.01563238,0.65643805,0.65643805
19,17,0.030685933,0.65643805,0.65643805
19,18,0.026371958,0.65643805,0.65643805
19,20,0.038186017,0.65643805,0.65643805
19,21,0.015956605,0.65643805,0.65643805
19,22,0.048959,0.65643805,0.65643805
19,23,0.025852816,0.65643805,0.65643805
19,24,0.0532032,0.65643805,0.65643805
19,25,0.035099156,0.65643805,0.65643805
19,26,0.036993947,0.65643805,0.65643805
19,27,0.030399429,0.65643805,0.65643805
19,28,0.015762096,0.65643805,0.65643805
19,29,0.015616398,0.65643805,0.65643805
19,30,0.029455194,0.65643805,0.65643805
20,0,0.041569095,0.65643805,0.65643805
20,1,0.046585698,0.65643805,0.65643805
20,2,0.025770735,0.65643805,0.65643805
20,3,0.040979654,0.65643805,0.65643805
20,4,0.026887124,0.65643805,0.65643805
20,5,0.033216897,0.65643805,0.65643805
20,6,0.04653103,0.65643805,0.65643805
20,7,0.024773296,0.65643805,0.65643805
20,8,0.042540304,0.65643805,0.65643805
20,9,0.030666456,0.65643805,0.65643805
20,10,0.035130464,0.65643805,0.65643805
20,11,0.04715069,0.65643805,0.65643805
20,12,0.042947378,0.65643805,0.65643805
20,13,0.02542146,0.65643805,0.65643805
20,14,0.0314033,0.65643805,0.65643805
20,15,0.03241531,0.65643805,0.65643805
20,16,0.02452351,0.65643805,0.65643805
20,17,0.027054396,0.65643805,0.65643805
20,18,0.02304325,0.65643805,0.65643805
20,19,0.042974778,0.65643805,0.65643805
20,21,0.024914373,0.65643805,0.65643805
20,22,0.047415894,0.65643805,0.65643805
20,23,0.02257012,0.65643805,0.65643805
20,24,0.04729641,0.65643805,0.65643805
20,25,0.031548396,0.65643805,0.65643805
20,26,0.032810837,0.65643805,0.65643805
20,27,0.026777012,0.65643805,0.65643805
20,28,0.02468165,0.65643805,0.65643805
20,29,0.024505774,0.65643805,0.65643805
20,30,0.0258947,0.65643805,0.65643805
21,0,0.039507866,0.65643805,0.65643805
